"","SRX033482","SRX033489","SRX033479","SRX033490","SRX033480","SRX033472","SRX033485","SRX033493","SRX033475","SRX033486"
"ENSMUSG00000002831",34,136,45,121,37,29,70,98,17,68
"ENSMUSG00000002833",520,1079,807,1175,479,961,520,1106,683,466
"ENSMUSG00000002835",48,49,53,56,30,70,26,47,36,19
"ENSMUSG00000002844",530,1167,969,1214,590,877,664,1180,628,615
"ENSMUSG00000002845",64,199,72,194,56,79,93,178,71,84
"ENSMUSG00000002846",25,73,47,98,29,42,45,87,36,50
"ENSMUSG00000002847",4,26,5,35,13,6,9,14,4,9
"ENSMUSG00000002870",32,65,78,86,19,58,23,55,45,18
"ENSMUSG00000002881",84,190,106,235,105,137,88,256,103,130
"ENSMUSG00000002897",224,351,401,376,228,359,281,529,277,271
"ENSMUSG00000002900",311,767,360,739,280,448,308,689,343,320
"ENSMUSG00000002908",128,268,298,301,125,301,180,442,233,191
"ENSMUSG00000002910",84,249,135,206,103,68,80,146,50,55
"ENSMUSG00000002944",0,9,4,8,0,3,7,6,3,2
"ENSMUSG00000002948",76,128,108,153,49,157,72,204,109,92
"ENSMUSG00000002957",1854,4169,3373,4395,1893,2922,2276,5119,2328,2283
"ENSMUSG00000002968",386,912,853,930,305,825,810,1170,647,627
"ENSMUSG00000002981",1501,4005,2509,4177,1444,2714,2131,4437,2078,2008
"ENSMUSG00000002983",7,14,16,14,4,14,15,23,9,12
"ENSMUSG00000002984",240,400,446,458,193,489,387,466,337,317
"ENSMUSG00000002985",6837,13301,9458,16641,5513,11427,7709,14993,7091,6534
"ENSMUSG00000002996",47,164,71,185,52,72,50,178,50,85
"ENSMUSG00000002997",501,1220,425,1223,472,586,383,1272,572,665
"ENSMUSG00000003031",275,419,207,529,264,164,255,516,211,303
"ENSMUSG00000003032",2,5,17,16,6,9,16,24,9,6
"ENSMUSG00000003037",40,91,64,112,34,94,42,149,40,49
"ENSMUSG00000003038",1,9,3,8,4,7,2,3,1,5
"ENSMUSG00000003039",218,599,316,536,233,522,278,918,357,407
"ENSMUSG00000003062",217,529,276,415,221,188,201,454,223,236
"ENSMUSG00000003070",40,81,88,116,51,64,92,126,62,63
"ENSMUSG00000003072",6,13,20,11,2,28,33,29,14,19
"ENSMUSG00000003131",1464,3383,1508,3236,1639,1314,1329,3486,1680,1898
"ENSMUSG00000003134",889,2052,1058,2193,662,1157,809,1768,1057,891
"ENSMUSG00000003135",118,265,102,264,109,86,150,289,130,138
"ENSMUSG00000003153",1510,3679,2332,3694,1812,2216,1789,4075,2158,2159
"ENSMUSG00000003154",411,843,534,1017,373,553,514,899,512,514
"ENSMUSG00000003178",297,472,504,491,339,484,464,595,373,397
"ENSMUSG00000003190",0,4,8,4,2,3,2,6,0,3
"ENSMUSG00000003198",16,33,8,33,12,9,5,29,21,12
"ENSMUSG00000003200",186,516,418,543,209,382,349,724,327,317
"ENSMUSG00000003206",4,15,11,16,3,14,7,6,4,8
"ENSMUSG00000003208",34,80,47,89,27,59,43,108,33,53
"ENSMUSG00000003226",2374,4772,2410,4484,2827,1711,1923,5378,2670,3656
"ENSMUSG00000003227",3,12,3,7,3,3,9,11,5,2
"ENSMUSG00000003228",93,209,123,232,94,153,125,291,169,132
"ENSMUSG00000003233",242,478,598,592,224,559,404,718,432,353
"ENSMUSG00000003235",194,463,233,395,176,248,180,438,171,188
"ENSMUSG00000003269",137,249,187,266,126,188,127,314,183,118
"ENSMUSG00000003273",654,1297,801,1463,596,1018,765,1371,786,684
"ENSMUSG00000003283",19,38,19,45,12,24,14,42,22,17
"ENSMUSG00000003299",81,160,136,162,69,175,90,175,106,90
"ENSMUSG00000003308",345,889,856,973,349,986,466,943,646,448
"ENSMUSG00000003309",3,17,6,24,7,11,15,22,15,18
"ENSMUSG00000003316",1507,3284,2370,3239,1718,2250,1883,3572,1781,1989
"ENSMUSG00000003345",742,1321,1508,1652,669,1353,824,1597,980,729
"ENSMUSG00000003346",670,1323,1457,1359,598,1399,1156,1621,1117,925
"ENSMUSG00000003348",16,38,52,51,16,46,43,69,38,31
"ENSMUSG00000003352",1193,2911,3172,3588,1184,3037,2074,3829,2113,1820
"ENSMUSG00000003355",2,5,1,5,0,9,4,14,8,8
"ENSMUSG00000003360",32,80,61,74,50,48,43,105,31,30
"ENSMUSG00000003378",2541,4646,5270,4897,2193,5428,4063,5321,4060,3101
"ENSMUSG00000003380",720,1195,1110,1187,707,1215,805,1373,921,874
"ENSMUSG00000003382",10,17,15,15,9,10,12,20,16,11
"ENSMUSG00000003402",552,1089,908,1250,507,942,679,1251,647,614
"ENSMUSG00000003410",724,1550,1360,1654,795,1417,963,1752,1186,878
"ENSMUSG00000003411",184,360,234,358,119,366,185,415,233,213
"ENSMUSG00000003418",0,6,3,4,4,4,0,3,7,5
"ENSMUSG00000003420",97,222,158,217,102,148,123,188,104,96
"ENSMUSG00000003429",13,42,15,90,13,16,21,63,15,12
"ENSMUSG00000003435",1521,3071,2390,3255,1395,2420,1729,3695,1757,1471
"ENSMUSG00000003444",14,28,23,32,12,37,30,31,21,22
"ENSMUSG00000003469",514,1115,721,1257,477,907,556,1353,682,630
"ENSMUSG00000003476",11,23,22,36,11,19,14,34,8,7
"ENSMUSG00000003477",10,8,4,20,3,0,1,3,1,0
"ENSMUSG00000003518",96,197,222,216,92,203,154,294,180,135
"ENSMUSG00000003527",69,127,100,157,78,105,87,170,96,97
"ENSMUSG00000003534",36,50,65,69,28,55,51,55,40,32
"ENSMUSG00000003541",36,66,74,95,30,26,71,70,55,60
"ENSMUSG00000003545",181,259,253,342,207,174,255,484,197,238
"ENSMUSG00000003546",55,146,117,147,55,150,82,156,92,80
"ENSMUSG00000003559",76,190,85,206,78,162,100,324,140,133
"ENSMUSG00000003581",21,36,29,25,17,25,18,34,34,16
"ENSMUSG00000003604",37,79,30,94,45,30,41,101,30,40
"ENSMUSG00000003657",48,108,67,213,54,114,97,115,61,53
"ENSMUSG00000003662",123,263,194,322,86,170,112,329,156,141
"ENSMUSG00000003665",15,50,29,46,11,55,45,65,47,47
"ENSMUSG00000003680",73,136,137,134,71,126,74,159,114,72
"ENSMUSG00000003746",139,184,178,181,136,118,117,173,131,125
"ENSMUSG00000003752",4,5,6,8,4,4,3,8,6,4
"ENSMUSG00000003778",6,21,9,31,6,4,9,27,2,8
"ENSMUSG00000003779",8,40,20,30,12,17,37,49,15,27
"ENSMUSG00000003848",207,408,332,435,192,365,248,524,258,187
"ENSMUSG00000003849",29,69,31,83,40,19,33,88,31,33
"ENSMUSG00000003863",184,300,358,364,163,350,328,430,334,233
"ENSMUSG00000003865",6,13,9,23,3,10,22,18,5,10
"ENSMUSG00000003868",61,135,115,144,57,135,78,180,76,70
"ENSMUSG00000003873",163,326,295,337,145,282,166,340,228,153
"ENSMUSG00000003882",6,12,5,5,1,5,5,19,6,11
"ENSMUSG00000003923",25,85,20,64,41,20,30,70,34,56
"ENSMUSG00000003929",8,23,12,36,10,19,13,30,15,20
"ENSMUSG00000003934",859,2092,1456,2402,782,1533,902,1679,1207,808
"ENSMUSG00000003955",174,386,155,427,160,120,115,402,126,147
"ENSMUSG00000003970",1055,2218,1820,2334,1029,2240,1130,2581,1143,1311
"ENSMUSG00000003974",958,2093,1553,2396,908,1532,1055,2448,1325,1417
"ENSMUSG00000004031",879,1961,1568,2129,998,1423,1408,2673,1389,1354
"ENSMUSG00000004032",773,1838,747,2088,670,748,573,1758,504,759
"ENSMUSG00000004035",18,27,5,21,6,15,6,16,8,6
"ENSMUSG00000004044",17,45,46,31,14,39,15,37,27,31
"ENSMUSG00000004054",211,456,491,517,216,453,299,539,315,256
"ENSMUSG00000004069",6,15,15,19,11,7,8,20,13,23
"ENSMUSG00000004070",34,104,57,128,42,54,66,152,46,58
"ENSMUSG00000004071",117,229,207,260,86,211,284,330,151,208
"ENSMUSG00000004085",3,3,5,7,6,9,0,13,2,8
"ENSMUSG00000004096",117,337,132,445,178,114,128,420,135,200
"ENSMUSG00000004098",7,8,14,14,8,20,11,23,9,11
"ENSMUSG00000004099",564,1296,934,1377,644,876,685,1520,659,712
"ENSMUSG00000004105",5,17,26,11,2,13,7,11,6,3
"ENSMUSG00000004110",4680,9605,6015,9582,4665,5692,5672,9479,5713,6798
"ENSMUSG00000004127",3,7,10,7,6,1,1,10,2,4
"ENSMUSG00000004187",2882,5387,5262,6871,2538,5529,4394,7520,4247,3611
"ENSMUSG00000004207",11023,27009,17569,27847,10616,17290,13715,28587,13062,12441
"ENSMUSG00000004233",2,11,9,26,6,14,20,26,16,16
"ENSMUSG00000004266",33,67,38,71,46,43,32,80,31,36
"ENSMUSG00000004268",32,98,49,138,32,73,33,124,50,49
"ENSMUSG00000004285",7,36,11,40,6,19,9,41,12,6
"ENSMUSG00000004341",8,18,5,23,4,2,1,3,3,3
"ENSMUSG00000004347",85,183,64,176,99,106,62,158,84,74
"ENSMUSG00000004356",318,685,364,665,345,341,320,708,366,434
"ENSMUSG00000004360",784,1818,713,1930,876,666,872,2246,887,1375
"ENSMUSG00000004364",1181,2644,1090,2908,1425,981,798,3028,1403,1595
"ENSMUSG00000004366",1103,2563,1851,3983,970,1896,2025,3505,1466,1444
"ENSMUSG00000004383",82,211,145,193,89,130,115,258,98,146
"ENSMUSG00000004394",169,331,295,374,181,296,205,352,184,181
"ENSMUSG00000004460",18,38,17,31,17,13,5,37,10,18
"ENSMUSG00000004462",88,268,159,239,103,127,135,298,127,134
"ENSMUSG00000004473",16,22,63,56,23,34,41,52,36,33
"ENSMUSG00000004500",112,238,185,237,108,186,174,266,151,155
"ENSMUSG00000004508",74,139,109,173,72,155,110,236,77,120
"ENSMUSG00000004530",508,1171,865,1154,469,878,494,1175,569,582
"ENSMUSG00000004558",4485,10720,5082,12045,3997,5983,4363,10621,4249,4605
"ENSMUSG00000004561",148,286,186,321,128,205,164,367,179,176
"ENSMUSG00000004562",139,303,241,354,128,338,325,444,243,234
"ENSMUSG00000004565",499,1043,765,1048,367,873,663,1242,630,590
"ENSMUSG00000004591",206,458,220,486,256,166,154,465,234,267
"ENSMUSG00000004609",34,86,40,94,36,36,22,36,29,30
"ENSMUSG00000004610",43,76,38,81,38,46,25,65,30,29
"ENSMUSG00000004630",6,4,14,6,7,9,4,5,11,6
"ENSMUSG00000004655",0,19,5,27,5,3,3,31,3,10
"ENSMUSG00000004661",22,62,34,62,27,38,33,68,25,38
"ENSMUSG00000004665",6,17,20,23,7,16,26,15,11,12
"ENSMUSG00000004667",109,218,201,257,124,275,116,284,138,112
"ENSMUSG00000004677",691,1288,1236,1419,568,1097,967,1430,819,812
"ENSMUSG00000004698",110,221,183,267,133,158,153,323,142,163
"ENSMUSG00000004709",0,1,0,0,0,3,5,10,1,6
"ENSMUSG00000004730",36,76,47,93,27,35,17,56,28,34
"ENSMUSG00000004748",18,20,39,14,20,32,17,21,27,25
"ENSMUSG00000004771",394,1059,537,1143,530,577,460,1298,570,704
"ENSMUSG00000004789",1177,2865,1692,2902,1249,1742,1280,3267,1382,1462
"ENSMUSG00000004791",11,19,24,25,11,14,13,33,12,11
"ENSMUSG00000004798",132,300,221,308,124,203,197,356,157,203
"ENSMUSG00000004843",465,1040,459,926,431,349,440,1027,479,655
"ENSMUSG00000004846",17,16,13,18,11,15,7,38,13,13
"ENSMUSG00000004880",73,131,101,184,59,118,72,199,84,83
"ENSMUSG00000004885",10,9,2,10,7,7,5,13,2,3
